日付,方法,カテゴリ,ジャンル,支払元,入金先,商品,メモ,場所,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2016-03-01,payment,住まい,家賃,銀行,-,,,-,（プレミアム会員で表示）,0,155000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-01,payment,食費,昼ご飯,-,-,,,トラットリア・イタリア,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-01,payment,食費,晩ご飯,-,-,,,杵屋,（プレミアム会員で表示）,0,1080,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-01,payment,美容・衣服,洋服,-,-,,,ZARA,（プレミアム会員で表示）,0,6000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-02,payment,食費,食料品,-,-,,,満,（プレミアム会員で表示）,0,1170,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-02,payment,食費,食料品,-,-,,,ライフ,（プレミアム会員で表示）,0,4615,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-02,payment,食費,カフェ,-,-,,,スタバ,（プレミアム会員で表示）,0,410,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-02,payment,食費,昼ご飯,-,-,,,水内庵,（プレミアム会員で表示）,0,900,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-02,payment,エンタメ,レジャー,-,-,,,合気道,（プレミアム会員で表示）,0,10800,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-03,payment,食費,昼ご飯,-,-,,,アークサウスタワー笑壺,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-03,payment,食費,カフェ,-,-,,,FUKUSHIMAYA,（プレミアム会員で表示）,0,313,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-03,payment,交際費,飲み会,-,-,,林くん,-,（プレミアム会員で表示）,0,10000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-03,payment,美容・衣服,コスメ,-,-,,ママバター,シンシアガーデン,（プレミアム会員で表示）,0,2555,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-03,payment,美容・衣服,美容院,-,-,,"Plus Lounge",明治神宮前,（プレミアム会員で表示）,0,4480,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,食費,昼ご飯,-,-,,,アークヒルズカフェ,（プレミアム会員で表示）,0,10000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,食費,晩ご飯,-,-,,,FUKUSHIMAYA,（プレミアム会員で表示）,0,699,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,食費,食料品,-,-,,,Santoku,（プレミアム会員で表示）,0,1661,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,食費,カフェ,-,-,,,タリーズ,（プレミアム会員で表示）,0,690,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,水道・光熱,ガス料金,-,-,,,東京ガス,（プレミアム会員で表示）,0,6045,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2016-03-04,payment,食費,カフェ,-,-,,,スタバ,（プレミアム会員で表示）,0,410,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
